"Neubrandenburg" (53.5569, 13.2608) 64086
"Grevenbroich" (51.0883, 6.5875) 63620
"Rosenheim" (47.8561, 12.1289) 63324
"Herten" (51.6000, 7.1333) 61791
"Bergheim" (50.9667, 6.6500) 61612
"Schwabisch Gmund" (48.8000, 9.8000) 61186
"Friedrichshafen" (47.6542, 9.4792) 60865
"Garbsen" (52.4183, 9.5981) 60754
"Wesel" (51.6586, 6.6178) 60357
"Hurth" (50.8775, 6.8761) 60189
"Offenburg" (48.4708, 7.9408) 59646
"Stralsund" (54.3092, 13.0819) 59421
"Greifswald" (54.0833, 13.3833) 59382
"Langenfeld" (51.1167, 6.9500) 58927
"Neu-Ulm" (48.3833, 10.0000) 58707
"Unna" (51.5347, 7.6889) 58633
"Euskirchen" (50.6613, 6.7873) 57975
"Frankfurt (Oder)" (52.3500, 14.5500) 57873
"Goppingen" (48.7025, 9.6528) 57558
"Hameln" (52.1031, 9.3600) 57510
"Stolberg" (50.7667, 6.2333) 56792
"Eschweiler" (50.8167, 6.2833) 56385
"Gorlitz" (51.1528, 14.9872) 56324
"Langenhagen" (52.4394, 9.7400) 56288
"Meerbusch" (51.2667, 6.6667) 56189
"Sankt Augustin" (50.7700, 7.1867) 55767
"Hilden" (51.1714, 6.9394) 55764
"Waiblingen" (48.8303, 9.3169) 55449
"Baden-Baden" (48.7619, 8.2408) 55123
"Hattingen" (51.3992, 7.1858) 54562
"Lingen" (52.5233, 7.3172) 54422
"Bad Homburg" (50.2292, 8.6105) 54248
"Bad Salzuflen" (52.0875, 8.7506) 54127
"Pulheim" (51.0000, 6.8000) 54071
"Schweinfurt" (50.0500, 10.2333) 54032
"Nordhorn" (52.4333, 7.0667) 53403
"Neustadt" (49.3443, 8.1952) 53148
"Wetzlar" (50.5667, 8.5000) 52954
"Ahlen" (51.7633, 7.8911) 52582
"Frechen" (50.9167, 6.8167) 52473
"Passau" (48.5667, 13.4667) 52469
"Wolfenbuttel" (52.1622, 10.5369) 52174
"Ibbenburen" (52.2778, 7.7167) 51904
"Kleve" (51.7900, 6.1400) 51845
"Bad Kreuznach" (49.8469, 7.8669) 50948
"Goslar" (51.9060, 10.4292) 50753
"Gummersbach" (51.0333, 7.5667) 50688
"Ravensburg" (47.7831, 9.6114) 50623
"Willich" (51.2631, 6.5492) 50592
"Speyer" (49.3194, 8.4311) 50378
"Boblingen" (48.6833, 9.0000) 50155
"Peine" (52.3203, 10.2336) 49952
"Emden" (53.3669, 7.2061) 49913
"Elmshorn" (53.7547, 9.6536) 49883
"Erftstadt" (50.8167, 6.7667) 49801
"Rastatt" (48.8572, 8.2031) 49783
"Heidenheim" (48.6761, 10.1544) 49526
"Lorrach" (47.6156, 7.6614) 49347
"Leonberg" (48.8014, 9.0131) 48733
"Bergkamen" (51.6167, 7.6333) 48725
"Bad Oeynhausen" (52.2000, 8.8000) 48702
"Freising" (48.4028, 11.7489) 48634
"Rheda-Wiedenbruck" (51.8417, 8.3000) 48505
"Cuxhaven" (53.8667, 8.7000) 48356
"Bornheim" (50.7592, 7.0050) 48326
"Gronau" (52.2125, 7.0417) 48072
"Straubing" (48.8772, 12.5758) 47794
"Stade" (53.6008, 9.4764) 47533
"Soest" (51.5711, 8.1092) 47460
"Dachau" (48.2603, 11.4342) 47400
"Alsdorf" (50.8744, 6.1615) 47018
"Landau" (49.1994, 8.1231) 46677
"Dulmen" (51.8308, 7.2783) 46590
"Melle" (52.2031, 8.3361) 46493
"Neunkirchen" (49.3448, 7.1799) 46469
